[2026-03-25 00:09:16 KST] waiting for baseline final checkpoint: /home/dy-jang/projects/TruckDetection-main/results/baseline_b16_full/seed_42/model_final.pth
[2026-03-25 00:09:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:10:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:11:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:12:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:13:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:14:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:15:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:16:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:17:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:18:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:19:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:20:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:21:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:22:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:23:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:24:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:25:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:26:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:27:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:28:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:29:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:30:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:31:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:32:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:33:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:34:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:35:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:36:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:37:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:38:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:39:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:40:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:41:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:42:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:43:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:44:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:45:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:46:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:47:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:48:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:49:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:50:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:51:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:52:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:53:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:54:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:55:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:56:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:57:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:58:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 00:59:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:00:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:01:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:02:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:03:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:04:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:05:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:06:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:07:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:08:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:09:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:10:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:11:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:12:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:13:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:14:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:15:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:16:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:17:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:18:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:19:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:20:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:21:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:22:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:23:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:24:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:25:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:26:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:27:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:28:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:29:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:30:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:31:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:32:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:33:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:34:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:35:16 KST] baseline seed_42 still running; waiting for model_final
